date,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty
2014-03-31,ECYT,CETV,NBIX,CTRL,TAT,EPZM,PTX,CYTR,ARIA,IO,YRCW,UPIP,AEPI,ALIM,BLOX,XONE,FSYS,UTIW,CONN,FWM
2014-04-15,GLRI,AVP,BAX,FHCO,LRN,MGLN,ICUI,SWK,XRAY,PDCO,OMI,RMD,JNJ,LH,DGX,WU,IPCM,MMM,NICK,LHCG
2014-04-30,COP,XRAY,SRCL,PDCO,SYY,BDX,MMM,HSIC,JNJ,MGLN,RSO,ABT,SYK,NDSN,BAX,DVA,OMI,CVS,VAR,MDT
2014-05-15,WLT,TXTR,XONE,MCP,DVAX,SFY,VVUS,FWM,LF,NTLS,AREX,SRPT,TRLA,ANR,AEGR,HERO,HGG,WRLD,CDE,EXEL
2014-05-30,GE,MMM,XRAY,DD,HSIC,ATR,ABT,CMO,BDX,JNJ,CVS,MDT,COV,BR,SYK,BAX,ITW,MD,BCR,PDCO
2014-06-13,RCAP,AAMC,UVE,FNHC,PACB,TBBK,BOFI,XXII,ZQK,RM,XOOM,GTT,YRCW,JGW,EHTH,PLUG,MMI,ECYT,UPIP,GCA
2014-06-30,AAMC,HEAR,WWE,RM,ECYT,FRO,PRKR,RCAP,DXPE,TBBK,XOOM,GTT,XXII,JGW,XONE,GCA,PACB,DXYN,ATSG,RVLT
2014-07-15,DVAX,MCP,FRO,WLT,PLUG,ECYT,XONE,MBII,PRKR,UTIW,ULTR,RM,MILL,NTLS,DXPE,CLFD,WWE,AIRM,ARO,ACHN
2014-07-31,MMM,HSIC,XRAY,ITW,FIS,BDX,JNJ,CVS,TFX,BAX,LLY,LH,SYK,CTAS,DOV,MFA,OCR,ATR,MD,DVA
2014-08-15,VRNG,ESI,HEAR,WWE,FRO,NGVC,ZU,CLFD,ARO,SALE,GOGO,GTT,RNDY,NYNY,PBYI,CECO,CHGG,FWM,PBPB,SEAS
2014-08-29,PBYI,FNHC,MMI,DXM,PEIX,VRNG,PTSI,QRHC,TRLA,VDSI,PTX,GBX,GLUU,REX,PAH,NNBR,SWKS,AMKR,HA,ACHN
2014-09-15,QRHC,FNHC,VRNG,VDSI,GFIG,PEIX,DXM,REX,TRLA,PRSC,OVTI,MMI,LTS,GLNG,SQNM,AMKR,NOR,CBK,SLCA,SYNA
2014-09-30,HSIC,MMM,PFE,ODP,ACXM,BDX,DST,XRAY,SWY,CACI,FIS,SYK,SCL,CVD,CVS,BMY,EMR,MRK,CFN,LLY
2014-10-15,RDNT,ZTS,FUR,CVX,DTV,JNJ,FISV,ACHN,WLK,BR,MWV,GE,CVS,MMM,ECL,GD,HCA,H,UHS,LLY
2014-10-31,CARA,CYTK,ACXM,VCYT,TRXC,ATNM,PHMD,CYTX,RIGL,AIQ,HRTX,CVD,ECYT,BEAT,GNCA,RGDO,EGLT,ICEL,ISH,NSTG
2014-11-14,PBYI,HNRG,VDSI,ARC,ACHN,GFIG,HNH,FLWS,LE,GTIV,CENX,MMI,DRC,FDO,ISRL,FNHC,MNST,VIAS,NYNY,EPIQ
2014-11-28,NATH,BURL,ACHN,DRC,CENX,MGEE,PBYI,CVA,GTIV,DTSI,RCPT,VDSI,BC,NP,PAH,OVAS,HNRG,TTPH,MTX,BLUE
2014-12-15,DRC,ACHN,TSO,RCPT,CENX,TUES,X,PBYI,DVAX,VDSI,TREX,AMWD,OVAS,PTSI,BGG,IMPV,DTSI,MGEE,GME,ELLI
2014-12-31,RCPT,CTRE,CVEO,ESBF,DRIV,SUSQ,ASPX,RM,ARCW,ZQK,SYUT,ANV,ACHN,BLUE,ESI,MOV,SIAL,SIMG,NOR,MCHX
